"country","year","cases","deaths"
"Australia","2024",1,0
"Azerbaijan","2006",8,5
"Bangladesh","2008",1,0
"Bangladesh","2011",2,0
"Bangladesh","2012",3,0
"Bangladesh","2013",1,1
"Bangladesh","2015",1,0
"Cambodia","2005",4,4
"Cambodia","2006",2,2
"Cambodia","2007",1,1
"Cambodia","2008",1,0
"Cambodia","2009",1,0
"Cambodia","2010",1,1
"Cambodia","2011",8,8
"Cambodia","2012",3,3
"Cambodia","2013",26,14
"Cambodia","2014",9,4
"Cambodia","2023",6,4
"Cambodia","2024",10,2
"Canada","2013",1,1
"Chile","2023",1,0
"China","2003",1,1
"China","2005",8,5
"China","2006",13,8
"China","2007",5,3
"China","2008",4,4
"China","2009",7,4
"China","2010",2,1
"China","2011",1,1
"China","2012",2,1
"China","2013",2,2
"China","2014",2,0
"China","2015",6,1
"China","2022",1,1
"China","2023",1,0
"China","2024",1,0
"Djibouti","2006",1,0
"Ecuador","2022",1,0
"Egypt","2006",18,10
"Egypt","2007",25,9
"Egypt","2008",8,4
"Egypt","2009",39,4
"Egypt","2010",29,13
"Egypt","2011",39,15
"Egypt","2012",11,5
"Egypt","2013",4,3
"Egypt","2014",37,14
"Egypt","2015",136,39
"Egypt","2016",10,3
"Egypt","2017",3,1
"India","2021",1,1
"Indonesia","2005",20,13
"Indonesia","2006",55,45
"Indonesia","2007",42,37
"Indonesia","2008",24,20
"Indonesia","2009",21,19
"Indonesia","2010",9,7
"Indonesia","2011",12,10
"Indonesia","2012",9,9
"Indonesia","2013",3,3
"Indonesia","2014",2,2
"Indonesia","2015",2,2
"Indonesia","2017",1,1
"Iraq","2006",3,2
"Lao People's Democratic Republic","2007",2,2
"Lao People's Democratic Republic","2020",1,0
"Myanmar","2007",1,0
"Nepal","2019",1,1
"Nigeria","2007",1,1
"Pakistan","2007",3,1
"Spain","2022",2,0
"Thailand","2004",17,12
"Thailand","2005",5,2
"Thailand","2006",3,3
"Turkey","2006",12,4
"United Kingdom","2021",1,0
"United Kingdom","2023",4,0
"United States of America","2022",1,0
"United States of America","2024",9,0
"Viet Nam","2003",3,3
"Viet Nam","2004",29,20
"Viet Nam","2005",61,19
"Viet Nam","2007",8,5
"Viet Nam","2008",6,5
"Viet Nam","2009",5,5
"Viet Nam","2010",7,2
"Viet Nam","2012",4,2
"Viet Nam","2013",2,1
"Viet Nam","2014",2,2
"Viet Nam","2022",1,0
"Viet Nam","2024",1,1
